Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
66,0.8549849987030029,226.0,1,1,40,79,1,0,small,False
67,29.54121422767639,382.0,1,1,722,96,2,100,small,False
68,29.66236448287964,382.0,1,1,722,79,2,300,small,False
69,0.8061010837554932,235.0,1,1,40,79,1,0,small,False
70,29.71782922744751,382.0,1,1,722,115,2,100,small,False
71,0.8129293918609619,238.0,1,1,40,79,1,0,small,False
72,2.299978733062744,578.0,1,1,40,79,1,100,small,False
73,29.602235555648804,382.0,1,1,722,105,2,200,small,False
74,0.7521274089813232,234.0,1,1,40,79,1,0,small,False
75,29.75719428062439,381.0,1,1,722,79,2,100,small,False
76,29.749165534973145,382.0,1,1,722,88,2,200,small,False
77,29.94467830657959,382.0,1,1,722,93,2,400,small,False
78,29.8933584690094,381.0,1,1,721,102,2,200,small,False
79,0.7977015972137451,243.0,1,1,40,79,1,0,small,False
80,29.843536376953125,382.0,1,1,722,93,2,100,small,False
81,30.011765956878662,379.0,1,1,719,103,2,100,small,False
82,29.91700506210327,382.0,1,1,722,79,2,100,small,False
83,8.472679615020752,546.0,1,1,40,79,1,300,small,False
84,30.054317235946655,382.0,1,1,722,99,2,100,small,False
85,29.96479082107544,558.0,1,1,898,106,2,300,small,False
86,30.298927783966064,382.0,1,1,722,115,2,100,small,False
87,30.21522831916809,382.0,1,1,722,93,2,400,small,False
88,1.5363988876342773,631.0,1,1,40,79,1,100,small,False
89,16.10366439819336,683.0,1,1,40,79,1,200,small,False
90,5.572145462036133,612.0,1,1,40,79,1,100,small,False
91,5.798672676086426,610.0,1,1,40,79,1,100,small,False
92,5.615722179412842,612.0,1,1,40,79,1,0,small,False
93,22.17829203605652,442.0,1,1,40,79,1,0,small,False
94,0.8364098072052002,233.0,1,1,40,79,1,0,small,False
95,0.6066687107086182,248.0,1,1,40,79,1,0,small,False
96,2.061352491378784,627.0,1,1,40,79,1,200,small,False
97,30.24912405014038,381.0,1,1,721,104,2,100,small,False
98,30.106960773468018,382.0,1,1,722,85,2,300,small,False
99,30.254631757736206,382.0,1,1,722,93,2,300,small,False
100,30.274921655654907,382.0,1,1,722,97,2,400,small,False
101,0.800020694732666,246.0,1,1,40,79,1,0,small,False
102,30.466039180755615,381.0,1,1,721,101,2,200,small,False
103,0.7900092601776123,236.0,1,1,40,79,1,0,small,False
104,30.439199447631836,381.0,1,1,721,109,2,200,small,False
105,0.7460639476776123,235.0,1,1,40,79,1,0,small,False
106,0.5951380729675293,248.0,1,1,40,79,1,0,small,False
107,0.852003812789917,234.0,1,1,40,79,1,0,small,False
108,30.48931908607483,380.0,1,1,720,93,2,300,small,False
109,4.556108236312866,622.0,1,1,40,79,1,100,small,False
110,6.0604236125946045,543.0,1,1,40,79,1,100,small,False
111,30.4980251789093,382.0,1,1,722,84,2,600,small,False
