Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
104,32.30926585197449,689.0,1,1,40,79,1,300,small,False
105,18.821107625961304,589.0,1,1,40,79,1,200,small,False
106,42.33711624145508,1278.0,1,1,1320,79,1,200,small,False
107,86.6257872581482,658.0,1,1,898,125,2,400,small,False
108,28.780388593673706,777.0,1,1,40,79,1,500,small,False
109,15.064780235290527,588.0,1,1,40,79,1,100,small,False
110,2.906235694885254,250.0,1,1,40,79,1,0,small,False
111,3.796295166015625,230.0,1,1,40,79,1,0,small,False
112,3.6981570720672607,236.0,1,1,40,79,1,200,small,False
113,27.980682373046875,685.0,1,1,40,79,1,100,small,False
114,86.54967594146729,411.0,1,1,652,89,2,300,small,False
115,2.7980148792266846,249.0,1,1,40,79,1,0,small,False
116,2.890334367752075,242.0,1,1,40,79,1,200,small,False
117,3.030489206314087,246.0,1,1,40,79,1,0,small,False
118,4.641841888427734,230.0,1,1,40,79,1,0,small,False
119,27.58256983757019,734.0,1,1,40,79,1,200,small,False
120,2.8985114097595215,241.0,1,1,40,79,1,0,small,False
121,23.171724319458008,738.0,1,1,40,79,1,100,small,False
122,63.79465126991272,929.0,1,1,40,79,1,300,small,False
123,2.7445173263549805,250.0,1,1,40,79,1,0,small,False
124,4.32293963432312,205.0,1,1,40,79,1,200,small,False
125,2.522967576980591,249.0,1,1,40,79,1,0,small,False
126,2.916050910949707,250.0,1,1,40,79,1,0,small,False
127,2.8934812545776367,240.0,1,1,40,79,1,200,small,False
128,13.870761394500732,727.0,1,1,40,79,1,100,small,False
129,28.12726330757141,1315.0,1,1,1320,79,1,400,small,False
130,3.68719482421875,250.0,1,1,40,79,1,0,small,False
131,41.20477318763733,652.0,1,1,40,79,1,200,small,False
132,8.471009254455566,584.0,1,1,40,79,1,0,small,False
133,78.04394245147705,1288.0,1,1,1320,79,1,400,small,False
134,21.888404607772827,696.0,1,1,40,79,1,200,small,False
135,8.55714225769043,588.0,1,1,40,79,1,0,small,False
136,86.6024763584137,60.0,1,1,296,104,2,1150,tall,False
137,13.511436939239502,566.0,1,1,40,79,1,200,small,False
138,13.050060033798218,578.0,1,1,40,79,1,0,small,False
139,43.49215769767761,973.0,1,1,40,79,1,300,small,False
140,3.755108594894409,229.0,1,1,40,79,1,0,small,False
141,10.946293592453003,619.0,1,1,40,79,1,0,small,False
142,10.22821569442749,619.0,1,1,40,79,1,100,small,False
143,47.18280100822449,1254.0,1,1,1320,79,1,200,small,False
144,3.3900387287139893,242.0,1,1,40,79,1,0,small,False
145,48.79801893234253,662.0,1,1,40,79,1,1350,small,False
146,4.137042045593262,228.0,1,1,40,79,1,0,small,False
147,2.833341121673584,243.0,1,1,40,79,1,0,small,False
148,37.15640902519226,987.0,1,1,40,79,1,700,small,False
149,4.591343879699707,241.0,1,1,40,79,1,200,small,False
150,17.904967546463013,749.0,1,1,40,79,1,200,small,False
151,2.7582874298095703,244.0,1,1,40,79,1,0,small,False
152,3.0183663368225098,249.0,1,1,40,79,1,0,small,False
153,18.165786504745483,568.0,1,1,40,79,1,100,small,False
154,15.44277834892273,757.0,1,1,40,79,1,300,small,False
155,3.2673327922821045,243.0,1,1,40,79,1,0,small,False
156,4.871002197265625,205.0,1,1,40,79,1,200,small,False
157,4.785281419754028,215.0,1,1,40,79,1,0,small,False
158,12.847506999969482,587.0,1,1,40,79,1,100,small,False
159,25.753743410110474,737.0,1,1,40,79,1,200,small,False
160,6.898681402206421,240.0,1,1,40,79,1,0,small,False
161,5.138921499252319,236.0,1,1,40,79,1,0,small,False
162,3.578815460205078,235.0,1,1,40,79,1,200,small,False
163,5.160610675811768,228.0,1,1,40,79,1,0,small,False
164,3.752835750579834,237.0,1,1,40,79,1,200,small,False
